title,genre_detail
10-Day Green Smoothie Cleanse,Health & Wellness
11/22/63: A Novel,Thriller
12 Rules for Life: An Antidote to Chaos,Self-Help
1984 (Signet Classics),Science Fiction
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",Children's
A Dance with Dragons (A Song of Ice and Fire),Fantasy
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,Fantasy
A Gentleman in Moscow: A Novel,Historical Fiction
"A Higher Loyalty: Truth, Lies, and Leadership",Memoir
A Man Called Ove: A Novel,Literary Fiction
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,History
A Stolen Life: A Memoir,Memoir
A Wrinkle in Time (Time Quintet),Science Fiction
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Self-Help
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Coloring Book
Adult Coloring Book: Stress Relieving Animal Designs,Coloring Book
Adult Coloring Book: Stress Relieving Patterns,Coloring Book
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",Coloring Book
Alexander Hamilton,Biography
All the Light We Cannot See,Historical Fiction
Allegiant,Young Adult
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Memoir
And the Mountains Echoed,Literary Fiction
Arguing with Idiots: How to Stop Small Minds and Big Government,Politics
Astrophysics for People in a Hurry,Science
"Autobiography of Mark Twain, Vol. 1",Biography
Baby Touch and Feel: Animals,Children's
Balance (Angie's Extreme Stress Menders),Coloring Book
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Cooking
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Cooking
Becoming,Memoir
Being Mortal: Medicine and What Matters in the End,Science
Between the World and Me,Nonfiction
Born to Run,Memoir
"Breaking Dawn (The Twilight Saga, Book 4)",Romance
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Politics
"Brown Bear, Brown Bear, What Do You See?",Children's
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Children's
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Coloring Book
Can't Hurt Me: Master Your Mind and Defy the Odds,Memoir
Capital in the Twenty First Century,Business
Catching Fire (The Hunger Games),Young Adult
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Cooking
Crazy Love: Overwhelmed by a Relentless God,Religion & Spirituality
Crazy Rich Asians (Crazy Rich Asians Trilogy),Literary Fiction
Creative Haven Creative Cats Coloring Book (Adult Coloring),Coloring Book
Creative Haven Owls Coloring Book (Adult Coloring),Coloring Book
Cutting for Stone,Literary Fiction
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Self-Help
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Nonfiction
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Fantasy
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Fantasy
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Fantasy
Dear Zoo: A Lift-the-Flap Book,Children's
Decision Points,Memoir
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Business
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",Reference
"Diary of a Wimpy Kid: Hard Luck, Book 8",Children's
Diary of a Wimpy Kid: The Last Straw (Book 3),Children's
Diary of a Wimpy Kid: The Long Haul,Children's
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),Children's
Divergent,Young Adult
Divergent / Insurgent,Young Adult
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Religion & Spirituality
Doctor Sleep: A Novel,Horror
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Children's
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Children's
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Children's
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Children's
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Children's
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Children's
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Children's
Double Down (Diary of a Wimpy Kid #11),Children's
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Coloring Book
Drive: The Surprising Truth About What Motivates Us,Business
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,Health & Wellness
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",Health & Wellness
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Health & Wellness
Eclipse (Twilight Sagas),Romance
Eclipse (Twilight),Romance
Educated: A Memoir,Memoir
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Coloring Book
Fahrenheit 451,Science Fiction
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),Fantasy
Fear: Trump in the White House,Politics
Fifty Shades Darker,Romance
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),Romance
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),Romance
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),Romance
Fire and Fury: Inside the Trump White House,Politics
First 100 Words,Children's
Food Rules: An Eater's Manual,Health & Wellness
Frozen (Little Golden Book),Children's
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",Politics
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,Fantasy
George Washington's Sacred Fire,History
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,History
Giraffes Can't Dance,Children's
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Self-Help
