title,authors,year,genre,average_rating,num_pages,publisher
The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,Science Fiction,4.22,224,Pan Books
Dune,Frank Herbert,1965,Science Fiction,4.25,412,Chilton Books
The Name of the Wind,Patrick Rothfuss,2007,Fantasy,4.55,662,DAW Books
Gone Girl,Gillian Flynn,2012,Thriller,3.93,422,Crown Publishing
Sapiens,Yuval Noah Harari,2011,History,4.40,443,Harvill Secker
The Alchemist,Paulo Coelho,1988,Literary Fiction,3.86,163,HarperOne
Educated,Tara Westover,2018,Memoir,4.47,334,Random House
Project Hail Mary,Andy Weir,2021,Science Fiction,4.52,476,Ballantine Books
The Midnight Library,Matt Haig,2020,Literary Fiction,3.99,288,Canongate Books
Atomic Habits,James Clear,2018,Self-Help,4.35,320,Avery
Where the Crawdads Sing,Delia Owens,2018,Literary Fiction,4.46,370,Putnam
Normal People,Sally Rooney,2018,Literary Fiction,3.88,273,Faber & Faber
The Hunger Games,Suzanne Collins,2008,Young Adult,4.33,374,Scholastic
Big Magic,Elizabeth Gilbert,2015,Self-Help,3.95,273,Riverhead Books
The Silent Patient,Alex Michaelides,2019,Thriller,4.10,325,Celadon Books
A Little Life,Hanya Yanagihara,2015,Literary Fiction,4.32,720,Doubleday
The Body Keeps the Score,Bessel van der Kolk,2014,Health & Wellness,4.36,464,Viking
Mexican Gothic,Silvia Moreno-Garcia,2020,Horror,3.86,301,Del Rey
All the Light We Cannot See,Anthony Doerr,2014,Historical Fiction,4.31,531,Scribner
The Power of Now,Eckhart Tolle,1997,Self-Help,4.13,236,New World Library
