title,authors,year_read,date_read,genre,series,series_number,format,personal_rating,notes
Dune,Frank Herbert,2016,,Science Fiction,,,physical,,
The Count of Monte Cristo,Alexandre Dumas,2016,,Classic,,,physical,,first half only
How to Win Friends and Influence People,Dale Carnegie,2016,,Self-Help,,,physical,,
The Meditations of Marcus Aurelius,Marcus Aurelius,2016,,Philosophy,,,physical,,
Mindfulness in Plain English,Bhante Gunaratana,2017,,Philosophy/Spirituality,,,physical,,
The Fellowship of the Ring,J.R.R. Tolkien,2017,,Fantasy,The Lord of the Rings,1,physical,,
The Two Towers,J.R.R. Tolkien,2017,,Fantasy,The Lord of the Rings,2,physical,,
The Return of the King,J.R.R. Tolkien,2017,,Fantasy,The Lord of the Rings,3,physical,,
A Game of Thrones,George R.R. Martin,2017,,Fantasy,A Song of Ice and Fire,1,physical,,
A Clash of Kings,George R.R. Martin,2017,,Fantasy,A Song of Ice and Fire,2,physical,,
The Stranger,Albert Camus,2017,,Literary Fiction,,,physical,,
Fahrenheit 451,Ray Bradbury,2017,,Science Fiction,,,physical,,
Animal Farm,George Orwell,2017,,Literary Fiction,,,physical,,
Slaughterhouse Five,Kurt Vonnegut,2017,2017-07-23,Science Fiction,,,physical,,
Candide,Voltaire,2017,2017-08-01,Classic,,,physical,,
A Storm of Swords,George R.R. Martin,2017,2017-08-02,Fantasy,A Song of Ice and Fire,3,physical,,
Catch 22,Joseph Heller,2017,,Literary Fiction,,,physical,,
The Hobbit,J.R.R. Tolkien,2017,,Fantasy,,,physical,,
The Meditations,Marcus Aurelius,2017,,Philosophy,,,physical,,
The Sirens of Titan,Kurt Vonnegut,2017,,Science Fiction,,,physical,,
Les Misérables (Fantine),Victor Hugo,2017,,Classic,Les Misérables,,physical,,Fantine section
Cat's Cradle,Kurt Vonnegut,2017,,Science Fiction,,,physical,,
Man's Search for Meaning,Viktor E. Frankl,2017,,Nonfiction,,,physical,,
Of Mice and Men,John Steinbeck,2017,2017-10-25,Literary Fiction,,,physical,,
Reclaiming Conversation,Sherry Turkle,2017,,Nonfiction,,,physical,,
Siddhartha,Hermann Hesse,2017,2017-10-29,Literary Fiction,,,physical,,
Memoirs of a Geisha,Arthur Golden,2017,,Historical Fiction,,,physical,,
1984,George Orwell,2017,2017-11-19,Science Fiction,,,physical,,
A Feast for Crows,George R.R. Martin,2017,,Fantasy,A Song of Ice and Fire,4,physical,,
The Alchemist,Paulo Coelho,2017,2017-12-05,Literary Fiction,,,physical,,
The Picture of Dorian Grey,Oscar Wilde,2017,2017-12-07,Classic,,,physical,,
Galapagos,Kurt Vonnegut,2017,2017-12-11,Science Fiction,,,physical,,
Fear and Loathing in Las Vegas,Hunter S. Thompson,2017,2017-12-11,Literary Fiction,,,physical,,
Astrophysics for People in a Hurry,Neil deGrasse Tyson,2017,2017-12-13,Science/Nonfiction,,,physical,,
Ill Fares the Land,Tony Judt,2018,,Nonfiction,,,physical,,
A Dance with Dragons,George R.R. Martin,2018,,Fantasy,A Song of Ice and Fire,5,physical,,
Stranger in a Strange Land,Robert A. Heinlein,2018,2018-01-28,Science Fiction,,,physical,,
The Adventures of Huckleberry Finn,Mark Twain,2018,2018-01-31,Classic,,,physical,,
The Scarlet Letter,Nathaniel Hawthorne,2018,2018-02-01,Classic,,,physical,,
Snow Crash,Neal Stephenson,2018,2018-02-07,Science Fiction,,,physical,,
Surely You're Joking Mr. Feynman!,Richard P. Feynman,2018,2018-02-09,Memoir,,,physical,,
Breakfast of Champions,Kurt Vonnegut,2018,2018-02-11,Literary Fiction,,,physical,,
